time,depth,Temperature,Salinity,Oxygen_1,CO2,Alkalinity,NO3_plus_NO2,NO2,PO4,Silicate,POC,PON,TOC,TN,Bact_Enum,POP,TDP,SRP,Bio_Si,Litho_Si,Prochlorococcus,Synechococcus,Picoeukaryotes,Nanoeukaryotes,yyyymmdd,time_unitless,decimal_year
UTC,m,"degrees Celsius ( \u00b0C)",dimensionless,micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),microequivalents,micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),micrograms per kilogram (ug/kg),micrograms per kilogram (ug/kg),micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),cells times 10^8 per kilogram,micromoles per kilogram (umol/kg),nanomoles per kilogram (nmol/kg),nanomoles per kilogram (nmol/kg),micromoles per kilogram (umol/kg),micromoles per kilogram (umol/kg),cells per milliliter (cells/mL),cells per milliliter (cells/mL),cells per milliliter (cells/mL),cells per milliliter (cells/mL),unitless,unitless,unitless
1988-10-20T22:30:00Z,2000.5,3.817,34.993,255.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,2200.3,3.577,34.982,256.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,2398.9,3.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,2600.0,3.127,34.957,259.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,2801.7,2.927,34.944,261.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,3000.9,2.737,34.943,263.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,3200.6,2.557,34.927,263.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,3400.3,2.407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,3600.4,2.327,34.917,262.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,3803.5,2.277,34.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,4001.5,2.247,34.893,261.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-20T22:30:00Z,4202.4,2.237,34.888,259.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881020,2230,1988.8031
1988-10-21T04:55:00Z,1.0,NaN,36.389,207.0,2008.9,NaN,0.0,NaN,0.0,1.04,NaN,NaN,NaN,NaN,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,10.0,NaN,36.39,207.0,2020.1,NaN,0.0,NaN,0.0,1.18,NaN,NaN,NaN,NaN,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,25.0,NaN,36.454,207.5,2013.4,NaN,0.0,NaN,0.0,1.08,NaN,NaN,NaN,NaN,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,50.0,NaN,36.499,209.6,2013.1,NaN,0.0,NaN,0.0,1.02,NaN,NaN,NaN,NaN,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,100.0,NaN,36.67,204.0,2066.3,NaN,2.2,NaN,0.04,1.14,NaN,NaN,NaN,NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,150.0,NaN,36.569,206.9,2074.4,NaN,1.31,NaN,0.0,0.96,NaN,NaN,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,200.0,NaN,36.548,209.0,2079.9,NaN,2.55,NaN,0.05,1.13,NaN,NaN,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,225.0,NaN,36.552,211.1,NaN,NaN,2.74,NaN,0.0,1.22,NaN,NaN,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,250.0,NaN,36.544,211.5,NaN,NaN,2.51,NaN,0.06,1.34,NaN,NaN,NaN,NaN,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,300.0,NaN,36.512,206.0,NaN,NaN,3.92,NaN,0.07,1.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,400.0,NaN,36.445,200.0,NaN,NaN,5.23,NaN,0.19,1.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-10-21T04:55:00Z,500.0,NaN,36.303,186.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881021,455,1988.8033
1988-11-23T14:00:00Z,3.9,24.087,36.455,221.8,NaN,NaN,0.0,NaN,0.0,1.41,46.92,3.91,NaN,NaN,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881123,1400,1988.895
1988-11-23T14:00:00Z,10.9,24.106,36.481,220.1,NaN,NaN,0.0,NaN,0.04,1.33,41.44,3.61,NaN,NaN,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881123,1400,1988.895
1988-11-23T14:00:00Z,25.8,24.105,36.449,220.9,NaN,NaN,0.09,NaN,0.0,1.16,68.5,6.58,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881123,1400,1988.895
1988-11-23T14:00:00Z,51.8,24.056,36.466,221.3,NaN,NaN,0.07,NaN,0.04,1.16,38.47,3.56,NaN,NaN,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881123,1400,1988.895
1988-11-23T14:00:00Z,99.7,20.837,36.692,234.6,NaN,NaN,0.11,NaN,0.0,0.99,36.24,2.98,NaN,NaN,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19881123,1400,1988.895
