date,year,month,co2_ppm
1980-01-01,1980,1,337.94
1980-02-01,1980,2,338.23
1980-03-01,1980,3,338.23
1980-04-01,1980,4,338.4
1980-05-01,1980,5,338.89
1980-06-01,1980,6,339.22
1980-07-01,1980,7,339.28
1980-08-01,1980,8,339.5
1980-09-01,1980,9,339.44
1980-10-01,1980,10,339.17
1980-11-01,1980,11,339.26
1980-12-01,1980,12,339.4
1981-01-01,1981,1,339.55
1981-02-01,1981,2,339.72
1981-03-01,1981,3,340.02
1981-04-01,1981,4,340.08
1981-05-01,1981,5,339.88
1981-06-01,1981,6,339.86
1981-07-01,1981,7,340.07
1981-08-01,1981,8,340.37
1981-09-01,1981,9,340.36
1981-10-01,1981,10,340.42
1981-11-01,1981,11,340.5
1981-12-01,1981,12,340.51
1982-01-01,1982,1,340.74
1982-02-01,1982,2,340.91
1982-03-01,1982,3,340.84
1982-04-01,1982,4,340.91
1982-05-01,1982,5,340.82
1982-06-01,1982,6,340.72
1982-07-01,1982,7,340.61
1982-08-01,1982,8,340.4
1982-09-01,1982,9,340.54
1982-10-01,1982,10,340.97
1982-11-01,1982,11,341.27
1982-12-01,1982,12,341.53
1983-01-01,1983,1,341.71
1983-02-01,1983,2,341.71
1983-03-01,1983,3,341.7
1983-04-01,1983,4,341.94
1983-05-01,1983,5,342.3
1983-06-01,1983,6,342.71
1983-07-01,1983,7,342.9
1983-08-01,1983,8,342.85
1983-09-01,1983,9,342.94
1983-10-01,1983,10,343.15
1983-11-01,1983,11,343.19
1983-12-01,1983,12,343.26
1984-01-01,1984,1,343.66
1984-02-01,1984,2,343.82
1984-03-01,1984,3,343.6
1984-04-01,1984,4,343.56
1984-05-01,1984,5,343.78
1984-06-01,1984,6,343.8
1984-07-01,1984,7,344.02
1984-08-01,1984,8,344.51
1984-09-01,1984,9,344.57
1984-10-01,1984,10,344.37
1984-11-01,1984,11,344.47
1984-12-01,1984,12,344.72
1985-01-01,1985,1,344.66
1985-02-01,1985,2,344.78
1985-03-01,1985,3,345.31
1985-04-01,1985,4,345.33
1985-05-01,1985,5,345.2
1985-06-01,1985,6,345.47
1985-07-01,1985,7,345.75
1985-08-01,1985,8,345.73
1985-09-01,1985,9,345.82
1985-10-01,1985,10,346.03
1985-11-01,1985,11,346.11
1985-12-01,1985,12,346.25
1986-01-01,1986,1,346.42
1986-02-01,1986,2,346.34
1986-03-01,1986,3,346.38
1986-04-01,1986,4,346.61
1986-05-01,1986,5,346.75
1986-06-01,1986,6,346.99
1986-07-01,1986,7,347.14
1986-08-01,1986,8,347.22
1986-09-01,1986,9,347.26
1986-10-01,1986,10,347.4
1986-11-01,1986,11,347.63
1986-12-01,1986,12,347.46
1987-01-01,1987,1,347.24
1987-02-01,1987,2,347.47
1987-03-01,1987,3,347.88
1987-04-01,1987,4,348.29
1987-05-01,1987,5,348.69
1987-06-01,1987,6,348.82
1987-07-01,1987,7,348.85
1987-08-01,1987,8,349.01
1987-09-01,1987,9,349.15
1987-10-01,1987,10,349.36
1987-11-01,1987,11,349.58
1987-12-01,1987,12,349.88
1988-01-01,1988,1,350.13
1988-02-01,1988,2,350.37
1988-03-01,1988,3,350.39
1988-04-01,1988,4,350.52
1988-05-01,1988,5,350.83
1988-06-01,1988,6,351.07
1988-07-01,1988,7,351.27
1988-08-01,1988,8,351.56
1988-09-01,1988,9,351.79
1988-10-01,1988,10,351.85
1988-11-01,1988,11,351.98
1988-12-01,1988,12,352.16
1989-01-01,1989,1,352.19
1989-02-01,1989,2,352.34
1989-03-01,1989,3,352.58
1989-04-01,1989,4,352.6
1989-05-01,1989,5,352.51
1989-06-01,1989,6,352.57
1989-07-01,1989,7,352.59
1989-08-01,1989,8,352.7
1989-09-01,1989,9,353.1
1989-10-01,1989,10,353.28
1989-11-01,1989,11,353.39
1989-12-01,1989,12,353.58
1990-01-01,1990,1,353.69
1990-02-01,1990,2,353.82
1990-03-01,1990,3,353.77
1990-04-01,1990,4,353.73
1990-05-01,1990,5,353.74
1990-06-01,1990,6,353.66
1990-07-01,1990,7,353.8
1990-08-01,1990,8,354.1
1990-09-01,1990,9,354.31
1990-10-01,1990,10,354.6
1990-11-01,1990,11,354.7
1990-12-01,1990,12,354.76
1991-01-01,1991,1,354.96
1991-02-01,1991,2,355.1
1991-03-01,1991,3,355.24
1991-04-01,1991,4,355.44
1991-05-01,1991,5,355.48
1991-06-01,1991,6,355.56
1991-07-01,1991,7,355.65
1991-08-01,1991,8,355.56
1991-09-01,1991,9,355.45
1991-10-01,1991,10,355.41
1991-11-01,1991,11,355.38
1991-12-01,1991,12,355.49
1992-01-01,1992,1,355.72
1992-02-01,1992,2,355.78
1992-03-01,1992,3,355.79
1992-04-01,1992,4,355.96
1992-05-01,1992,5,356.19
1992-06-01,1992,6,356.28
1992-07-01,1992,7,356.34
1992-08-01,1992,8,356.22
1992-09-01,1992,9,356.13
1992-10-01,1992,10,356.21
1992-11-01,1992,11,356.2
1992-12-01,1992,12,356.27
1993-01-01,1993,1,356.37
1993-02-01,1993,2,356.4
1993-03-01,1993,3,356.52
1993-04-01,1993,4,356.66
1993-05-01,1993,5,356.73
1993-06-01,1993,6,356.68
1993-07-01,1993,7,356.74
1993-08-01,1993,8,356.91
1993-09-01,1993,9,357.05
1993-10-01,1993,10,357.19
1993-11-01,1993,11,357.29
1993-12-01,1993,12,357.49
1994-01-01,1994,1,357.61
1994-02-01,1994,2,357.85
1994-03-01,1994,3,357.91
1994-04-01,1994,4,357.93
1994-05-01,1994,5,358.07
1994-06-01,1994,6,358.1
1994-07-01,1994,7,358.27
1994-08-01,1994,8,358.56
1994-09-01,1994,9,358.67
1994-10-01,1994,10,358.81
1994-11-01,1994,11,359.04
1994-12-01,1994,12,359.15
1995-01-01,1995,1,359.27
1995-02-01,1995,2,359.51
1995-03-01,1995,3,359.7
1995-04-01,1995,4,359.85
1995-05-01,1995,5,359.84
1995-06-01,1995,6,359.92
1995-07-01,1995,7,360.0
1995-08-01,1995,8,360.2
1995-09-01,1995,9,360.64
1995-10-01,1995,10,360.89
1995-11-01,1995,11,361.04
1995-12-01,1995,12,361.2
1996-01-01,1996,1,361.23
1996-02-01,1996,2,361.33
1996-03-01,1996,3,361.4
1996-04-01,1996,4,361.42
1996-05-01,1996,5,361.68
1996-06-01,1996,6,362.23
1996-07-01,1996,7,362.61
1996-08-01,1996,8,362.57
1996-09-01,1996,9,362.31
1996-10-01,1996,10,362.15
1996-11-01,1996,11,362.09
1996-12-01,1996,12,362.19
1997-01-01,1997,1,362.34
1997-02-01,1997,2,362.47
1997-03-01,1997,3,362.62
1997-04-01,1997,4,362.81
1997-05-01,1997,5,362.93
1997-06-01,1997,6,362.97
1997-07-01,1997,7,362.96
1997-08-01,1997,8,362.89
1997-09-01,1997,9,363.01
1997-10-01,1997,10,363.42
1997-11-01,1997,11,363.89
1997-12-01,1997,12,364.22
1998-01-01,1998,1,364.26
1998-02-01,1998,2,364.31
1998-03-01,1998,3,364.53
1998-04-01,1998,4,364.91
1998-05-01,1998,5,365.33
1998-06-01,1998,6,365.67
1998-07-01,1998,7,365.88
1998-08-01,1998,8,366.28
1998-09-01,1998,9,366.61
1998-10-01,1998,10,366.78
1998-11-01,1998,11,366.85
1998-12-01,1998,12,366.97
1999-01-01,1999,1,367.18
1999-02-01,1999,2,367.37
1999-03-01,1999,3,367.52
1999-04-01,1999,4,367.64
1999-05-01,1999,5,367.7
1999-06-01,1999,6,367.79
1999-07-01,1999,7,367.74
1999-08-01,1999,8,367.78
1999-09-01,1999,9,367.99
1999-10-01,1999,10,368.18
1999-11-01,1999,11,368.27
1999-12-01,1999,12,368.36
2000-01-01,2000,1,368.47
2000-02-01,2000,2,368.51
2000-03-01,2000,3,368.57
2000-04-01,2000,4,368.67
2000-05-01,2000,5,368.72
2000-06-01,2000,6,368.78
2000-07-01,2000,7,369.05
2000-08-01,2000,8,369.27
2000-09-01,2000,9,369.25
2000-10-01,2000,10,369.31
2000-11-01,2000,11,369.44
2000-12-01,2000,12,369.54
2001-01-01,2001,1,369.79
2001-02-01,2001,2,370.03
2001-03-01,2001,3,370.17
2001-04-01,2001,4,370.22
2001-05-01,2001,5,370.24
2001-06-01,2001,6,370.28
2001-07-01,2001,7,370.56
2001-08-01,2001,8,370.79
2001-09-01,2001,9,370.88
2001-10-01,2001,10,371.11
2001-11-01,2001,11,371.25
2001-12-01,2001,12,371.46
2002-01-01,2002,1,371.56
2002-02-01,2002,2,371.64
2002-03-01,2002,3,371.86
2002-04-01,2002,4,371.96
2002-05-01,2002,5,372.14
2002-06-01,2002,6,372.3
2002-07-01,2002,7,372.54
2002-08-01,2002,8,372.89
2002-09-01,2002,9,373.29
2002-10-01,2002,10,373.44
2002-11-01,2002,11,373.58
2002-12-01,2002,12,373.8
2003-01-01,2003,1,373.94
2003-02-01,2003,2,374.13
2003-03-01,2003,3,374.34
2003-04-01,2003,4,374.59
2003-05-01,2003,5,374.95
2003-06-01,2003,6,375.17
2003-07-01,2003,7,375.31
2003-08-01,2003,8,375.51
2003-09-01,2003,9,375.77
2003-10-01,2003,10,375.89
2003-11-01,2003,11,375.99
2003-12-01,2003,12,376.09
2004-01-01,2004,1,376.23
2004-02-01,2004,2,376.41
2004-03-01,2004,3,376.56
2004-04-01,2004,4,376.68
2004-05-01,2004,5,376.82
2004-06-01,2004,6,376.96
2004-07-01,2004,7,377.15
2004-08-01,2004,8,377.13
2004-09-01,2004,9,377.06
2004-10-01,2004,10,377.23
2004-11-01,2004,11,377.49
2004-12-01,2004,12,377.69
2005-01-01,2005,1,377.75
2005-02-01,2005,2,377.95
2005-03-01,2005,3,378.26
2005-04-01,2005,4,378.51
2005-05-01,2005,5,378.8
2005-06-01,2005,6,379.01
2005-07-01,2005,7,379.11
2005-08-01,2005,8,379.37
2005-09-01,2005,9,379.47
2005-10-01,2005,10,379.64
2005-11-01,2005,11,379.86
2005-12-01,2005,12,380.05
2006-01-01,2006,1,380.32
2006-02-01,2006,2,380.58
2006-03-01,2006,3,380.7
2006-04-01,2006,4,380.84
2006-05-01,2006,5,380.97
2006-06-01,2006,6,381.14
2006-07-01,2006,7,381.27
2006-08-01,2006,8,381.21
2006-09-01,2006,9,381.4
2006-10-01,2006,10,381.67
2006-11-01,2006,11,381.76
2006-12-01,2006,12,381.91
2007-01-01,2007,1,382.01
2007-02-01,2007,2,382.14
2007-03-01,2007,3,382.36
2007-04-01,2007,4,382.45
2007-05-01,2007,5,382.5
2007-06-01,2007,6,382.69
2007-07-01,2007,7,382.82
2007-08-01,2007,8,383.06
2007-09-01,2007,9,383.46
2007-10-01,2007,10,383.65
2007-11-01,2007,11,383.73
2007-12-01,2007,12,383.96
2008-01-01,2008,1,384.21
2008-02-01,2008,2,384.36
2008-03-01,2008,3,384.51
2008-04-01,2008,4,384.72
2008-05-01,2008,5,384.86
2008-06-01,2008,6,385.02
2008-07-01,2008,7,385.42
2008-08-01,2008,8,385.57
2008-09-01,2008,9,385.29
2008-10-01,2008,10,385.15
2008-11-01,2008,11,385.4
2008-12-01,2008,12,385.74
2009-01-01,2009,1,385.98
2009-02-01,2009,2,386.06
2009-03-01,2009,3,386.05
2009-04-01,2009,4,386.18
2009-05-01,2009,5,386.35
2009-06-01,2009,6,386.45
2009-07-01,2009,7,386.43
2009-08-01,2009,8,386.5
2009-09-01,2009,9,386.66
2009-10-01,2009,10,386.91
2009-11-01,2009,11,387.12
2009-12-01,2009,12,387.28
2010-01-01,2010,1,387.61
2010-02-01,2010,2,387.94
2010-03-01,2010,3,388.03
2010-04-01,2010,4,388.17
2010-05-01,2010,5,388.35
2010-06-01,2010,6,388.51
2010-07-01,2010,7,388.74
2010-08-01,2010,8,389.04
2010-09-01,2010,9,389.4
2010-10-01,2010,10,389.67
2010-11-01,2010,11,389.8
2010-12-01,2010,12,389.79
2011-01-01,2011,1,389.82
2011-02-01,2011,2,389.87
2011-03-01,2011,3,390.03
2011-04-01,2011,4,390.24
2011-05-01,2011,5,390.44
2011-06-01,2011,6,390.63
2011-07-01,2011,7,390.56
2011-08-01,2011,8,390.64
2011-09-01,2011,9,390.98
2011-10-01,2011,10,391.29
2011-11-01,2011,11,391.42
2011-12-01,2011,12,391.53
2012-01-01,2012,1,391.56
2012-02-01,2012,2,391.79
2012-03-01,2012,3,392.08
2012-04-01,2012,4,392.19
2012-05-01,2012,5,392.27
2012-06-01,2012,6,392.36
